Time,Temperature,Setpoint,Control_Signal
51,69.9359,50,100
51.1,69.5785,50,100
51.2,69.9826,50,100
51.3,69.7304,50,100
51.4,69.7466,50,100
51.5,69.7135,50,100
51.6,69.7201,50,100
51.7,69.9902,50,100
51.8,69.7856,50,100
51.9,69.6208,50,100
52,69.4796,50,100
52.1,69.9061,50,100
52.2,70.0198,50,100
52.3,69.9512,50,100
52.4,69.7487,50,100
52.5,69.3248,50,100
52.6,69.5804,50,100
52.7,69.8174,50,100
52.8,69.7144,50,100
52.9,69.7154,50,100
53,69.6699,50,100
53.1,69.179,50,100
53.2,69.9953,50,100
53.3,69.7321,50,100
53.4,69.5393,50,100
53.5,69.7435,50,100
53.6,69.8335,50,100
53.7,69.6303,50,100
53.8,69.8858,50,100
53.9,69.6048,50,100
54,69.8968,50,100
54.1,69.9491,50,100
54.2,69.6345,50,100
54.3,69.495,50,100
54.4,69.7243,50,100
54.5,69.938,50,100
54.6,69.5524,50,100
54.7,69.6465,50,100
54.8,70.2633,50,100
54.9,69.3705,50,100
55,69.7626,50,100
55.1,70.0422,50,100
55.2,69.811,50,100
55.3,69.6466,50,100
55.4,69.884,50,100
55.5,69.7822,50,100
55.6,69.7574,50,100
55.7,69.587,50,100
55.8,69.3401,50,100
55.9,69.7199,50,100
56,69.6779,50,100
56.1,69.8944,50,100
56.2,70.2653,50,100
56.3,69.7336,50,100
56.4,69.906,50,100
56.5,70.0266,50,100
56.6,69.65,50,100
56.7,70.0049,50,100
56.8,69.7917,50,100
56.9,69.3829,50,100
57,69.9052,50,100
57.1,70.1965,50,100
57.2,69.5311,50,100
57.3,69.604,50,100
57.4,69.6203,50,100
57.5,69.8126,50,100
57.6,70.0914,50,100
57.7,69.6847,50,100
57.8,69.8394,50,100
57.9,69.9525,50,100
58,69.416,50,100
58.1,70.0977,50,100
58.2,69.5199,50,100
58.3,69.8103,50,100
58.4,69.8247,50,100
58.5,69.9953,50,100
58.6,69.9708,50,100
58.7,69.7633,50,100
58.8,69.3253,50,100
58.9,69.7977,50,100
59,69.8352,50,100
59.1,69.8844,50,100
59.2,69.8314,50,100
59.3,70.0075,50,100
59.4,70.0404,50,100
59.5,69.829,50,100
59.6,69.5979,50,100
59.7,69.7835,50,100
59.8,69.6397,50,100
59.9,69.7191,50,100
60,69.7915,50,100
60.1,69.667,50,100
60.2,70.0058,50,95.3846
60.3,69.9961,50,97.8934
60.4,69.6008,50,100
60.5,69.9798,50,92.0684
60.6,70.0588,50,93.8688
60.7,70.0536,50,93.7201
60.8,69.8365,50,95.3916
60.9,69.6887,50,94.0822
61,69.7558,50,90.778
61.1,69.5858,50,92.5952
61.2,69.6084,50,89.6314
61.3,69.6489,50,88.3694
61.4,69.4791,50,89.923
61.5,69.5835,50,85.9408
61.6,69.7522,50,83.888
61.7,69.0379,50,93.5527
61.8,68.9092,50,87.0716
61.9,69.1295,50,82.0755
62,69.2922,50,81.2794
62.1,69.0299,50,85.2339
62.2,68.9072,50,83.2002
62.3,68.8955,50,81.1731
62.4,68.8772,50,80.3417
62.5,69.1896,50,75.2946
62.6,68.4611,50,86.6015
62.7,68.3429,50,79.8766
62.8,68.5163,50,75.6019
62.9,68.4119,50,77.7199
63,68.2814,50,77.3933
63.1,68.3224,50,74.6595
63.2,68.0405,50,77.6913
63.3,68.0851,50,73.4105
63.4,67.768,50,76.9323
63.5,67.6865,50,73.895
63.6,67.8167,50,70.5616
63.7,67.6635,50,72.8959
63.8,67.9055,50,67.4437
63.9,67.4194,50,75.0692
64,67.5007,50,68.3157
64.1,67.0045,50,74.4821
64.2,67.088,50,67.6217
64.3,66.5854,50,73.91
64.4,66.6502,50,67.241
64.5,66.6183,50,67.457
64.6,66.5289,50,67.4291
64.7,65.9646,50,72.7904
64.8,66.5025,50,59.5995
64.9,66.1473,50,68.611
65,65.8351,50,68.1682
65.1,65.8966,50,63.4847
65.2,65.8714,50,63.6193
65.3,65.6476,50,65.3837
65.4,65.3656,50,65.9023
65.5,65.555,50,59.936
65.6,65.1943,50,65.5794
65.7,65.204,50,61.0919
65.8,64.9828,50,63.2035
65.9,65.1151,50,58.5836
66,64.7962,50,63.1516
66.1,64.1361,50,67.5076
66.2,64.5315,50,55.2369
66.3,64.1954,50,62.6829
66.4,64.1712,50,58.9156
66.5,63.797,50,62.6621
66.6,63.603,50,60.6641
66.7,63.5984,50,58.1027
66.8,62.8167,50,67.1853
66.9,63.2667,50,53.0816
67,63.3527,50,55.8378
67.1,63.1875,50,58.1041
67.2,62.7069,50,61.8246
67.3,62.7289,50,56.1069
67.4,62.9374,50,53.0735
67.5,62.2742,50,62.8345
67.6,62.3334,50,54.8468
67.7,62.1925,50,56.5894
67.8,62.1741,50,54.8017
67.9,62.1754,50,53.9937
68,61.5727,50,60.9607
